# Time, Wall Area,Wall Volume, Lumen Volume, Wall Area Ratio, Wall Volume Ratio, Lumen Volume Ratio, Avg J,Avg I1, Avg J Ratio, Avg I1 Ratio, No. of Frames, Open Frame, Closing Frame, Ref Frame
2.000000000000000000e+02,2.641700578968262107e+03,8.154037305553106307e+03,1.751627431669242287e+04,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
3.000000000000000000e+02,2.682371195994651316e+03,7.802254456599550394e+03,1.782368012110687414e+04,1.015395619530156335e+00,9.568578317989809845e-01,1.017549725407160599e+00,1.021840908283118798e+00,2.052253214900111367e+00,1.021840908283118798e+00,1.026126607450055683e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+02,2.674669004281963680e+03,7.927633525408728929e+03,1.782220588600332121e+04,1.012480000790467294e+00,9.722341495800870259e-01,1.017465561670232388e+00,1.016165547981177530e+00,2.039415907396651573e+00,1.016165547981177530e+00,1.019707953698325786e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+02,2.692333768739363222e+03,8.116417785103829374e+03,1.802936451380289509e+04,1.019166892029404803e+00,9.953863933853163148e-01,1.029292199233344585e+00,1.020820623725345433e+00,2.049518880119772568e+00,1.020820623725345433e+00,1.024759440059886284e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
6.000000000000000000e+02,2.723131380655423072e+03,8.303228921087727940e+03,1.824733935042797020e+04,1.030825144354158507e+00,1.018296655993101485e+00,1.041736331626119005e+00,1.028091835702647838e+00,2.066157865415726214e+00,1.028091835702647838e+00,1.033078932707863107e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
7.000000000000000000e+02,2.742925823609295094e+03,8.475712286543554001e+03,1.842326341734786547e+04,1.038318212687286302e+00,1.039449780389326783e+00,1.051779795420942465e+00,1.032842025222744375e+00,2.077933010647179835e+00,1.032842025222744375e+00,1.038966505323589917e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
8.000000000000000000e+02,2.753480520854202041e+03,8.694961501442428926e+03,1.846510270872474939e+04,1.042313630384862355e+00,1.066338204697805381e+00,1.054168390770640285e+00,1.033935814062601377e+00,2.081878035139329786e+00,1.033935814062601377e+00,1.040939017569664893e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
9.000000000000000000e+02,2.705544372007962920e+03,8.870205366543681521e+03,1.775959715303055782e+04,1.024167687113365366e+00,1.087829873000807357e+00,1.013891243762165661e+00,1.019140316468971186e+00,2.051330046905837534e+00,1.019140316468971186e+00,1.025665023452918767e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000000e+03,2.692030867711894189e+03,9.109554412450323071e+03,1.740107197614657343e+04,1.019052230651851243e+00,1.117183313135750033e+00,9.934231253482902479e-01,1.013385268225252656e+00,2.043008465024790166e+00,1.013385268225252656e+00,1.021504232512395083e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.100000000000000000e+03,2.698411093094102398e+03,9.165904650778336872e+03,1.742213061219933661e+04,1.021467426920877219e+00,1.124094029412414208e+00,9.946253579504992226e-01,1.014998140714777675e+00,2.049041216115544461e+00,1.014998140714777675e+00,1.024520608057772231e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.200000000000000000e+03,2.724001742649390053e+03,9.074375115590584755e+03,1.775319838030915707e+04,1.031154614696443428e+00,1.112868972209718033e+00,1.013525939325519376e+00,1.021982958712398526e+00,2.062183465780861535e+00,1.021982958712398526e+00,1.031091732890430768e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.300000000000000000e+03,2.715413182315210634e+03,8.799112627571943449e+03,1.782184205190421926e+04,1.027903466401077770e+00,1.079111156577555075e+00,1.017444790466691895e+00,1.016534444371939294e+00,2.043944790644790288e+00,1.016534444371939294e+00,1.021972395322395144e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.400000000000000000e+03,2.664696868771551181e+03,8.532846970571456040e+03,1.741127599468321569e+04,1.008705108363291636e+00,1.046456700015386376e+00,9.940056703776813940e-01,1.000754447422403715e+00,2.009430532799046265e+00,1.000754447422403715e+00,1.004715266399523133e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.500000000000000000e+03,2.678709180435426333e+03,8.578641283736198602e+03,1.753743242957169423e+04,1.014009385379178063e+00,1.052072852045198070e+00,1.001207911710945808e+00,1.005131145765546963e+00,2.017353373247004367e+00,1.005131145765546963e+00,1.008676686623502183e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.600000000000000000e+03,2.728882722832607669e+03,8.779696671670148135e+03,1.792232324403045641e+04,1.033002280636360126e+00,1.076730010260187553e+00,1.023181238201498200e+00,1.022198244146538704e+00,2.052621363033646951e+00,1.022198244146538704e+00,1.026310681516823475e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.700000000000000000e+03,2.746530093626792222e+03,8.885648053406695908e+03,1.803474301094079419e+04,1.039682587607817510e+00,1.089723743029154868e+00,1.029599256375785865e+00,1.027308201680064093e+00,2.064052229299860652e+00,1.027308201680064093e+00,1.032026114649930326e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.800000000000000000e+03,2.718961942536321658e+03,8.811872433503671346e+03,1.783034480628316669e+04,1.029246828419227766e+00,1.080676001752231663e+00,1.017930210723603679e+00,1.019116241704945969e+00,2.047237427924630815e+00,1.019116241704945969e+00,1.023618713962315407e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.900000000000000000e+03,2.644201549234983304e+03,8.224833379105908534e+03,1.737794102525855851e+04,1.000946727379564694e+00,1.008682333781400375e+00,9.921025847772869666e-01,9.983253924767389043e-01,2.001455054151813684e+00,9.983253924767389043e-01,1.000727527075906842e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
